Description,Selection,Bet Id,Bet type,Matched amount,Loss rec. amount,Avg. price matched,Status,P/L,Strategy,Short description,Tipster,Placed date,Matched date,Settled date,Settle as win
20:00 Pacos Ferreira v Torreense\Correct Score\0 - 0,0 - 0,639067395255789079,BACK,Åí1.32,Åí0.00,10,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Muangthong Utd v Lamphun Warrior\Correct Score\0 - 1,0 - 1,639067395255789077,BACK,Åí1.34,Åí0.00,12.5,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Pacos Ferreira v Torreense\Correct Score\1 - 0,1 - 0,639067395255789080,BACK,Åí1.25,Åí0.00,13,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Muangthong Utd v Lamphun Warrior\Correct Score\1 - 0,1 - 0,639067395255789078,BACK,Åí1.37,Åí0.00,11.5,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Pacos Ferreira v Torreense\Correct Score\0 - 1,0 - 1,639067395255789081,BACK,Åí1.43,Åí0.00,7.6,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Muangthong Utd v Lamphun Warrior\Correct Score\0 - 0,0 - 0,639067395255789076,BACK,Åí1.29,Åí0.00,14.5,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Vizela v Maritimo\Correct Score\1 - 0,1 - 0,639067395255789084,BACK,Åí1.30,Åí0.00,10.5,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Vizela v Maritimo\Correct Score\0 - 0,0 - 0,639067395255789082,BACK,Åí1.32,Åí0.00,9.8,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Vizela v Maritimo\Correct Score\0 - 1,0 - 1,639067395255789083,BACK,Åí1.38,Åí0.00,8.4,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Stal Rzeszow v Polonia Bytom\Correct Score\0 - 0,0 - 0,639067395255789085,BACK,Åí1.28,Åí0.00,18,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:48,2026-02-15 19:45:48,0001-01-01 00:00:00,
20:00 Stal Rzeszow v Polonia Bytom\Correct Score\1 - 0,1 - 0,639067395255789086,BACK,Åí1.40,Åí0.00,12.5,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:48,2026-02-15 19:45:48,0001-01-01 00:00:00,
20:00 Stal Rzeszow v Polonia Bytom\Correct Score\0 - 1,0 - 1,639067395255789087,BACK,Åí1.32,Åí0.00,16,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:48,2026-02-15 19:45:48,0001-01-01 00:00:00,
19:00 Lokomotiv Plovdiv v Cherno More\Correct Score\1 - 0,1 - 0,639067395255789090,BACK,Åí1.11,Åí0.00,12.5,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:48,2026-02-15 19:45:48,0001-01-01 00:00:00,
19:00 Lokomotiv Plovdiv v Cherno More\Correct Score\0 - 1,0 - 1,639067395255789088,BACK,Åí1.44,Åí0.00,3.2,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:48,2026-02-15 19:45:48,0001-01-01 00:00:00,
19:00 Lokomotiv Plovdiv v Cherno More\Correct Score\0 - 0,0 - 0,639067395255789089,BACK,Åí1.45,Åí0.00,3.1,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:48,2026-02-15 19:45:48,0001-01-01 00:00:00,
20:00 Muangthong Utd v Lamphun Warrior\Correct Score\0 - 0,0 - 0,639067395255789092,BACK,Åí0.29,Åí0.00,14.5,MATCHED,Åí0.00,DUPLICATE DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:46:23,2026-02-15 19:46:23,0001-01-01 00:00:00,
20:00 Pacos Ferreira v Torreense\Correct Score\0 - 0,0 - 0,639067395255789094,BACK,Åí0.32,Åí0.00,10,MATCHED,Åí0.00,DUPLICATE DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:46:23,2026-02-15 19:46:23,0001-01-01 00:00:00,
20:00 Muangthong Utd v Lamphun Warrior\Correct Score\1 - 0,1 - 0,639067395255789091,BACK,Åí0.37,Åí0.00,11.5,MATCHED,Åí0.00,DUPLICATE DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:46:23,2026-02-15 19:46:23,0001-01-01 00:00:00,
20:00 Pacos Ferreira v Torreense\Correct Score\0 - 1,0 - 1,639067395255789095,BACK,Åí0.43,Åí0.00,7.6,MATCHED,Åí0.00,DUPLICATE DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:46:23,2026-02-15 19:46:23,0001-01-01 00:00:00,
20:00 Muangthong Utd v Lamphun Warrior\Correct Score\0 - 1,0 - 1,639067395255789093,BACK,Åí0.34,Åí0.00,12.5,MATCHED,Åí0.00,DUPLICATE DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:46:23,2026-02-15 19:46:23,0001-01-01 00:00:00,
20:00 Pacos Ferreira v Torreense\Correct Score\1 - 0,1 - 0,639067395255789096,BACK,Åí0.25,Åí0.00,13,MATCHED,Åí0.00,DUPLICATE DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:46:23,2026-02-15 19:46:23,0001-01-01 00:00:00,
20:00 Vizela v Maritimo\Correct Score\0 - 0,0 - 0,639067395255789098,BACK,Åí0.32,Åí0.00,10,MATCHED,Åí0.00,DUPLICATE DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:46:24,2026-02-15 19:46:24,0001-01-01 00:00:00,
20:00 Stal Rzeszow v Polonia Bytom\Correct Score\0 - 0,0 - 0,639067395255789101,BACK,Åí0.28,Åí0.00,18,MATCHED,Åí0.00,DUPLICATE DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:46:24,2026-02-15 19:46:24,0001-01-01 00:00:00,
20:00 Stal Rzeszow v Polonia Bytom\Correct Score\0 - 1,0 - 1,639067395255789100,BACK,Åí0.32,Åí0.00,16,MATCHED,Åí0.00,DUPLICATE DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:46:24,2026-02-15 19:46:24,0001-01-01 00:00:00,
20:00 Stal Rzeszow v Polonia Bytom\Correct Score\1 - 0,1 - 0,639067395255789102,BACK,Åí0.40,Åí0.00,12.5,MATCHED,Åí0.00,DUPLICATE DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:46:24,2026-02-15 19:46:24,0001-01-01 00:00:00,
20:00 Vizela v Maritimo\Correct Score\0 - 1,0 - 1,639067395255789097,BACK,Åí0.38,Åí0.00,8.4,MATCHED,Åí0.00,DUPLICATE DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:46:24,2026-02-15 19:46:24,0001-01-01 00:00:00,
20:00 Vizela v Maritimo\Correct Score\1 - 0,1 - 0,639067395255789099,BACK,Åí0.30,Åí0.00,10.5,MATCHED,Åí0.00,DUPLICATE DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:46:24,2026-02-15 19:46:24,0001-01-01 00:00:00,
19:00 Kitchee SC v Lee Man Warriors\Correct Score\1 - 0,1 - 0,639067395255789105,BACK,Åí0.37,Åí0.00,5.6,MATCHED,Åí0.00,DUPLICATE DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:46:49,2026-02-15 19:46:49,0001-01-01 00:00:00,
19:00 Kitchee SC v Lee Man Warriors\Correct Score\0 - 0,0 - 0,639067395255789104,BACK,Åí0.37,Åí0.00,5.5,MATCHED,Åí0.00,DUPLICATE DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:46:49,2026-02-15 19:46:49,0001-01-01 00:00:00,
19:00 Kitchee SC v Lee Man Warriors\Correct Score\0 - 1,0 - 1,639067395255789103,BACK,Åí0.26,Åí0.00,8,MATCHED,Åí0.00,DUPLICATE DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:46:49,2026-02-15 19:46:49,0001-01-01 00:00:00,
10:07 Tigres v Pachuca\First Half Goals 1.5\Under 1.5 Goals,Under 1.5 Goals,639072344272497457,BACK,Åí10.00,Åí0.00,1.52,SETTLED,Åí5.20,MV24.01 ?10 U1.5HT 1.50+ 1-2m Hedge@P1g 40-41m Hedge@90%P,Score at time of bet: 0 - 1,,2026-02-21 10:40:32,2026-02-21 10:40:32,2026-02-21 10:57:26,
10:07 Tigres v Pachuca\First Half Goals 1.5\Under 1.5 Goals,Under 1.5 Goals,639072344272497458,BACK,Åí10.00,Åí0.00,1.52,SETTLED,Åí5.20,DUPLICATE MV24.01 ?10 U1.5HT 1.50+ 1-2m Hedge@P1g 40-41m Hedge@90%P,Score at time of bet: 0 - 1,,2026-02-21 10:40:32,2026-02-21 10:40:32,2026-02-21 10:57:26,
10:00 Real Espana v Lobos UPNFM\First Half Goals 1.5\Under 1.5 Goals,Under 1.5 Goals,639072344272497460,BACK,Åí10.00,Åí0.00,1.01,SETTLED,-Åí10.00,DUPLICATE MV24.01 ?10 U1.5HT 1.50+ 1-2m Hedge@P1g 40-41m Hedge@90%P,Score at time of bet: 0 - 0,,2026-02-21 10:41:40,2026-02-21 10:41:40,2026-02-21 10:49:14,
10:02 Dorados v Club Atletico Morelia\First Half Goals 1.5\Under 1.5 Goals,Under 1.5 Goals,639072344272497459,BACK,Åí10.00,Åí0.00,1.02,SETTLED,Åí0.20,DUPLICATE MV24.01 ?10 U1.5HT 1.50+ 1-2m Hedge@P1g 40-41m Hedge@90%P,Score at time of bet: 0 - 0,,2026-02-21 10:41:40,2026-02-21 10:41:40,2026-02-21 10:53:47,
10:21 Rosario Central v Talleres\First Half Goals 1.5\Under 1.5 Goals,Under 1.5 Goals,639072344272497462,BACK,Åí10.00,Åí0.00,1.12,SETTLED,Åí1.20,DUPLICATE MV24.01 ?10 U1.5HT 1.50+ 1-2m Hedge@P1g 40-41m Hedge@90%P,Score at time of bet: 0 - 0,,2026-02-21 10:41:41,2026-02-21 10:41:41,2026-02-21 11:10:46,
10:15 Gimnasia Mendoza v Gimnasia La Plata\First Half Goals 1.5\Under 1.5 Goals,Under 1.5 Goals,639072344272497463,BACK,Åí10.00,Åí0.00,1.07,SETTLED,Åí0.70,DUPLICATE MV24.01 ?10 U1.5HT 1.50+ 1-2m Hedge@P1g 40-41m Hedge@90%P,Score at time of bet: 0 - 0,,2026-02-21 10:41:41,2026-02-21 10:41:41,2026-02-21 11:03:01,
10:30 Deportivo Pereira v Deportivo Pasto\First Half Goals 1.5\Under 1.5 Goals,Under 1.5 Goals,639072344272497461,BACK,Åí10.00,Åí0.00,1.16,SETTLED,Åí1.60,DUPLICATE MV24.01 ?10 U1.5HT 1.50+ 1-2m Hedge@P1g 40-41m Hedge@90%P,Score at time of bet: 0 - 0,,2026-02-21 10:41:41,2026-02-21 10:41:41,2026-02-21 11:16:51,
10:07 Tigres v Pachuca\First Half Goals 1.5\Under 1.5 Goals,Under 1.5 Goals,639072344272497464,BACK,Åí10.00,Åí0.00,1.06,SETTLED,Åí0.60,DUPLICATE MV24.01 ?10 U1.5HT 1.50+ 1-2m Hedge@P1g 40-41m Hedge@90%P,Score at time of bet: 0 - 0,,2026-02-21 10:43:35,2026-02-21 10:43:35,2026-02-21 10:57:26,
10:30 San Francisco FC v UMECIT\First Half Goals 1.5\Under 1.5 Goals,Under 1.5 Goals,639072344272497465,BACK,Åí10.00,Åí0.00,1.72,SETTLED,Åí7.20,DUPLICATE MV24.01 ?10 U1.5HT 1.50+ 1-2m Hedge@P1g 40-41m Hedge@90%P,,,2026-02-21 10:49:55,2026-02-21 10:49:55,2026-02-21 11:17:25,
10:21 Rosario Central v Talleres\First Half Goals 1.5\Under 1.5 Goals,Under 1.5 Goals,639072344272497466,LAY,Åí10.98,Åí0.00,1.02,SETTLED,-Åí0.22,DUPLICATE MV24.01 ?10 U1.5HT 1.50+ 1-2m Hedge@P1g 40-41m Hedge@90%P,Hedge because market conditions are satisfied. Hedge - because score is: 0 - 1. Hedge because market conditions are satisfied. Hedge - because score is: 0 - 1.  Score at time of bet: 0 - 1,,2026-02-21 11:03:40,2026-02-21 11:03:40,2026-02-21 11:10:46,
01:00 Ayr 23rd Feb\2m4f Hcap Hrd\Lights Go Down,Lights Go Down,639074090366718730,BACK,Åí0.25,Åí0.00,6.2,MATCHED,Åí0.00,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:32,2026-02-23 11:14:32,0001-01-01 00:00:00,
01:00 Ayr 23rd Feb\2m4f Hcap Hrd\Diamond Geezer,Diamond Geezer,639074090366718729,BACK,Åí0.50,Åí0.00,3.15,MATCHED,Åí0.00,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:32,2026-02-23 11:14:32,0001-01-01 00:00:00,
01:00 Ayr 23rd Feb\2m4f Hcap Hrd\The Jewellers Pet,The Jewellers Pet,639074090366718731,BACK,Åí0.25,Åí0.00,6.4,MATCHED,Åí0.00,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:32,2026-02-23 11:14:32,0001-01-01 00:00:00,
03:30 Wolverhampton 23rd Feb\7f Hcap\Nammos,Nammos,639074090366718732,BACK,Åí0.40,Åí0.00,3.2,MATCHED,Åí0.00,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:39,2026-02-23 11:14:39,0001-01-01 00:00:00,
03:30 Wolverhampton 23rd Feb\7f Hcap\Faster Bee,Faster Bee,639074090366718733,BACK,Åí0.33,Åí0.00,3.9,MATCHED,Åí0.00,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:39,2026-02-23 11:14:39,0001-01-01 00:00:00,
03:30 Wolverhampton 23rd Feb\7f Hcap\Believe In Lies,Believe In Lies,639074090366718734,BACK,Åí0.27,Åí0.00,4.7,MATCHED,Åí0.00,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:39,2026-02-23 11:14:39,0001-01-01 00:00:00,
12:32 Newcastle (AUS) 23rd Feb\R2 1609m Pace M\3. Jimmy Steel,3. Jimmy Steel,639074090366718735,BACK,Åí0.31,Åí0.00,4.3,SETTLED,-Åí0.31,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:51,2026-02-23 11:14:51,2026-02-23 13:22:34,
12:32 Newcastle (AUS) 23rd Feb\R2 1609m Pace M\5. Roses Are Best,5. Roses Are Best,639074090366718737,BACK,Åí0.24,Åí0.00,5.6,SETTLED,-Åí0.24,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:51,2026-02-23 11:14:51,2026-02-23 13:22:34,
12:32 Newcastle (AUS) 23rd Feb\R2 1609m Pace M\4. Miss Blue Stork,4. Miss Blue Stork,639074090366718736,BACK,Åí0.44,Åí0.00,3.05,SETTLED,Åí0.90,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:51,2026-02-23 11:14:51,2026-02-23 13:22:34,
13:23 Warwick (AUS) 23rd Feb\R2 800m Mdn\9. Lira,9. Lira,639074090366718740,BACK,Åí0.41,Åí0.00,3.1,SETTLED,-Åí0.41,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:52,2026-02-23 11:14:52,2026-02-23 13:31:12,
13:23 Warwick (AUS) 23rd Feb\R2 800m Mdn\1. Simbas Pride,1. Simbas Pride,639074090366718738,BACK,Åí0.29,Åí0.00,4.3,SETTLED,Åí0.96,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:52,2026-02-23 11:14:52,2026-02-23 13:31:12,
13:23 Warwick (AUS) 23rd Feb\R2 800m Mdn\3. Hussons Treasure,3. Hussons Treasure,639074090366718739,BACK,Åí0.30,Åí0.00,4.2,VOIDED,Åí0.00,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:52,2026-02-23 11:14:52,2026-02-23 13:31:12,
13:58 Warwick (AUS) 23rd Feb\R3 800m Hcap\3. Mr Playtime,3. Mr Playtime,639074090366718744,BACK,Åí0.48,Åí0.00,3.3,MATCHED,Åí0.00,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:54,2026-02-23 11:14:54,0001-01-01 00:00:00,
14:10 Albury (AUS) 23rd Feb\R5 1400m Mdn\2. Wiser,2. Wiser,639074090366718741,BACK,Åí0.43,Åí0.00,3.5,MATCHED,Åí0.00,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:54,2026-02-23 11:14:54,0001-01-01 00:00:00,
13:58 Warwick (AUS) 23rd Feb\R3 800m Hcap\6. Lady Zaydi,6. Lady Zaydi,639074090366718745,BACK,Åí0.28,Åí0.00,5.7,MATCHED,Åí0.00,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:54,2026-02-23 11:14:54,0001-01-01 00:00:00,
14:10 Albury (AUS) 23rd Feb\R5 1400m Mdn\3. Masakari,3. Masakari,639074090366718742,BACK,Åí0.38,Åí0.00,3.95,MATCHED,Åí0.00,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:54,2026-02-23 11:14:54,0001-01-01 00:00:00,
13:58 Warwick (AUS) 23rd Feb\R3 800m Hcap\7. Raiderlicious,7. Raiderlicious,639074090366718746,BACK,Åí0.25,Åí0.00,6.4,MATCHED,Åí0.00,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:54,2026-02-23 11:14:54,0001-01-01 00:00:00,
14:10 Albury (AUS) 23rd Feb\R5 1400m Mdn\15. Seasmoke,15. Seasmoke,639074090366718743,BACK,Åí0.19,Åí0.00,7.8,MATCHED,Åí0.00,DJ01.01 Dutch Back Fav1-3 F1=3.00-3.50 F2-3=3.50-8.00 R8-12 1mtp W100,,,2026-02-23 11:14:54,2026-02-23 11:14:54,0001-01-01 00:00:00,
13:53 Hamilton (AUS) 23rd Feb\R4 2160m Pace M\2. Eyeneedthat,2. Eyeneedthat,639074090366718747,LAY,Åí20.00,Åí0.00,1.5,MATCHED,Åí0.00,DJ02.01 Dutch Lay ÅgTaggsÅh tips to $20 exposure in-play if lay odds 1.50-1.90,,,2026-02-23 13:26:06,2026-02-23 13:26:06,0001-01-01 00:00:00,
14:50 Albury (AUS) 23rd Feb\R6 1175m Hcap\7. Olatunde,7. Olatunde,639074090366718748,LAY,Åí20.00,Åí0.00,1.86,MATCHED,Åí0.00,DJ02.01 Dutch Lay ÅgTaggsÅh tips to $20 exposure in-play if lay odds 1.50-1.90,,,2026-02-23 13:26:08,2026-02-23 13:26:08,0001-01-01 00:00:00,
21:00 Drenica Skenderaj v KF Prishtina E Re\Over/Under 3.5 Goals\Under 3.5 Goals,Under 3.5 Goals,639074090366718749,LAY,Åí20.00,Åí0.00,1.65,MATCHED,Åí0.00,DJ02.01 Dutch Lay ÅgTaggsÅh tips to $20 exposure in-play if lay odds 1.50-1.90,,,2026-02-23 13:26:14,2026-02-23 13:26:14,0001-01-01 00:00:00,
22:30 Persipal FC v Persiba Balikpapan\Over/Under 3.5 Goals\Under 3.5 Goals,Under 3.5 Goals,639074090366718750,LAY,Åí20.00,Åí0.00,1.61,MATCHED,Åí0.00,DJ02.01 Dutch Lay ÅgTaggsÅh tips to $20 exposure in-play if lay odds 1.50-1.90,,,2026-02-23 13:26:17,2026-02-23 13:26:17,0001-01-01 00:00:00,
23:00 Mohun Bagan Super Giants v Chennaiyin FC\Over/Under 3.5 Goals\Under 3.5 Goals,Under 3.5 Goals,639074090366718751,LAY,Åí20.00,Åí0.00,1.55,MATCHED,Åí0.00,DJ02.01 Dutch Lay ÅgTaggsÅh tips to $20 exposure in-play if lay odds 1.50-1.90,,,2026-02-23 13:26:18,2026-02-23 13:26:18,0001-01-01 00:00:00,
00:30 Ayr 23rd Feb\2m Nov Hrd\Next Twist,Next Twist,639074090366718752,LAY,Åí20.00,Åí0.00,1.66,MATCHED,Åí0.00,DJ02.01 Dutch Lay ÅgTaggsÅh tips to $20 exposure in-play if lay odds 1.50-1.90,,,2026-02-23 13:26:21,2026-02-23 13:26:21,0001-01-01 00:00:00,
02:00 Fenerbahce v Kasimpasa\Over/Under 3.5 Goals\Under 3.5 Goals,Under 3.5 Goals,639074090366718753,LAY,Åí20.00,Åí0.00,1.74,MATCHED,Åí0.00,DJ02.01 Dutch Lay ÅgTaggsÅh tips to $20 exposure in-play if lay odds 1.50-1.90,,,2026-02-23 13:26:24,2026-02-23 13:26:24,0001-01-01 00:00:00,
03:00 GAIS v Landskrona\Over/Under 3.5 Goals\Under 3.5 Goals,Under 3.5 Goals,639074090366718754,LAY,Åí20.00,Åí0.00,1.84,MATCHED,Åí0.00,DJ02.01 Dutch Lay ÅgTaggsÅh tips to $20 exposure in-play if lay odds 1.50-1.90,,,2026-02-23 13:26:26,2026-02-23 13:26:26,0001-01-01 00:00:00,
03:00 Riteriai v FK Kauno Zalgiris\Over/Under 3.5 Goals\Under 3.5 Goals,Under 3.5 Goals,639074090366718756,LAY,Åí20.00,Åí0.00,1.75,MATCHED,Åí0.00,DJ02.01 Dutch Lay ÅgTaggsÅh tips to $20 exposure in-play if lay odds 1.50-1.90,,,2026-02-23 13:26:26,2026-02-23 13:26:26,0001-01-01 00:00:00,
03:00 FCSB v FC Metaloglobus Bucuresti\Over/Under 3.5 Goals\Under 3.5 Goals,Under 3.5 Goals,639074090366718755,LAY,Åí20.00,Åí0.00,1.86,MATCHED,Åí0.00,DJ02.01 Dutch Lay ÅgTaggsÅh tips to $20 exposure in-play if lay odds 1.50-1.90,,,2026-02-23 13:26:26,2026-02-23 13:26:26,0001-01-01 00:00:00,
03:30 Maccabi Netanya v Beitar Jerusalem\Over/Under 3.5 Goals\Under 3.5 Goals,Under 3.5 Goals,639074090366718757,LAY,Åí20.00,Åí0.00,1.78,MATCHED,Åí0.00,DJ02.01 Dutch Lay ÅgTaggsÅh tips to $20 exposure in-play if lay odds 1.50-1.90,,,2026-02-23 13:26:27,2026-02-23 13:26:27,0001-01-01 00:00:00,
03:00 Um Al Hassam v Etihad Al Reef\Over/Under 3.5 Goals\Under 3.5 Goals,Under 3.5 Goals,639074090366718758,LAY,Åí20.00,Åí0.00,1.53,MATCHED,Åí0.00,DJ02.01 Dutch Lay ÅgTaggsÅh tips to $20 exposure in-play if lay odds 1.50-1.90,,,2026-02-23 13:26:27,2026-02-23 13:26:27,0001-01-01 00:00:00,
04:00 Al-Fateh (KSA) v Al-Akhdoud\Over/Under 3.5 Goals\Under 3.5 Goals,Under 3.5 Goals,639074090366718759,LAY,Åí20.00,Åí0.00,1.51,MATCHED,Åí0.00,DJ02.01 Dutch Lay ÅgTaggsÅh tips to $20 exposure in-play if lay odds 1.50-1.90,,,2026-02-23 13:26:28,2026-02-23 13:26:28,0001-01-01 00:00:00,
04:00 Dhamk v Al Ahli\Over/Under 3.5 Goals\Under 3.5 Goals,Under 3.5 Goals,639074090366718760,LAY,Åí20.00,Åí0.00,1.59,MATCHED,Åí0.00,DJ02.01 Dutch Lay ÅgTaggsÅh tips to $20 exposure in-play if lay odds 1.50-1.90,,,2026-02-23 13:26:28,2026-02-23 13:26:28,0001-01-01 00:00:00,
