Description,Selection,Bet Id,Bet type,Matched amount,Loss rec. amount,Avg. price matched,Status,P/L,Strategy,Short description,Tipster,Placed date,Matched date,Settled date,Settle as win
10:30 LA Galaxy v Mount Pleasant FC\Over/Under 0.5 Goals\Over 0.5 Goals,Over 0.5 Goals,639088709229955673,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,,,2026-03-12 10:00:30,2026-03-12 10:00:30,2026-03-12 10:37:08,
10:30 LA Galaxy v Mount Pleasant FC\Over/Under 1.5 Goals\Under 1.5 Goals,Under 1.5 Goals,639088709229955674,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,,,2026-03-12 10:00:30,2026-03-12 10:00:30,2026-03-12 12:16:48,
10:30 Real Espana v CD Victoria\Over/Under 0.5 Goals\Under 0.5 Goals,Under 0.5 Goals,639088709229955683,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,,,2026-03-12 10:00:31,2026-03-12 10:00:31,2026-03-12 10:53:28,
10:30 Real Espana v CD Victoria\Over/Under 1.5 Goals\Over 1.5 Goals,Over 1.5 Goals,639088709229955686,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,,,2026-03-12 10:00:31,2026-03-12 10:00:31,2026-03-12 11:41:13,
10:30 Real Espana v CD Victoria\Over/Under 0.5 Goals\Over 0.5 Goals,Over 0.5 Goals,639088709229955684,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,,,2026-03-12 10:00:31,2026-03-12 10:00:31,2026-03-12 10:53:28,
10:30 Real Espana v CD Victoria\Over/Under 1.5 Goals\Under 1.5 Goals,Under 1.5 Goals,639088709229955685,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,,,2026-03-12 10:00:31,2026-03-12 10:00:31,2026-03-12 11:41:13,
10:00 Independiente Rivadavia v Barracas Central\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639088709229955687,BACK,Åí30.00,Åí0.00,3.7,SETTLED,Åí81.00,MV25.01 ?30 Back O1.5HT 1-3m HgP@g,Score at time of bet: 0 - 0,,2026-03-12 10:01:43,2026-03-12 10:01:43,2026-03-12 10:45:25,
10:00 Boyaca Patriotas v Quindio\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639088709229955688,BACK,Åí30.00,Åí0.00,4.2,SETTLED,-Åí30.00,MV25.01 ?30 Back O1.5HT 1-3m HgP@g,Score at time of bet: 0 - 0,,2026-03-12 10:01:47,2026-03-12 10:01:47,2026-03-12 10:50:14,
10:00 Atl Tucuman v Aldosivi\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639088709229955689,BACK,Åí30.00,Åí0.00,4.4,SETTLED,-Åí30.00,MV25.01 ?30 Back O1.5HT 1-3m HgP@g,Score at time of bet: 0 - 0,,2026-03-12 10:02:22,2026-03-12 10:02:22,2026-03-12 10:47:06,
10:00 Atletico San Luis (W) v Puebla FC (W)\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639088709229955690,BACK,Åí30.00,Åí0.00,2.2,SETTLED,Åí36.00,MV25.01 ?30 Back O1.5HT 1-3m HgP@g,Score at time of bet: 0 - 0,,2026-03-12 10:03:25,2026-03-12 10:03:25,2026-03-12 10:13:45,
08:31 Nashville SC v Inter Miami CF\Over/Under 0.5 Goals\Over 0.5 Goals,Over 0.5 Goals,639088709229955691,BACK,Åí60.00,Åí0.00,2.02,SETTLED,-Åí60.00,MV25.07 ?60 Back O0.5FT 2.00-2.20 ,Score at time of bet: 0 - 0,,2026-03-12 10:03:31,2026-03-12 10:03:31,2026-03-12 10:25:35,
09:32 Paysandu v Portuguesa RJ\First Half Goals 0.5\Over 0.5 Goals,Over 0.5 Goals,639088709229955692,BACK,Åí60.00,Åí0.00,3.05,SETTLED,Åí123.00,MV25.04 ?60 Back O0.5HT 3.00-3.20 ,Score at time of bet: 0 - 0,,2026-03-12 10:04:35,2026-03-12 10:04:35,2026-03-12 10:12:34,
09:30 Tolima v OHiggins\First Half Goals 0.5\Over 0.5 Goals,Over 0.5 Goals,639088709229955693,BACK,Åí60.00,Åí0.00,3.15,SETTLED,Åí129.00,MV25.04 ?60 Back O0.5HT 3.00-3.20 ,Score at time of bet: 0 - 0,,2026-03-12 10:05:44,2026-03-12 10:05:44,2026-03-12 10:10:35,
09:31 Corinthians v Coritiba\First Half Goals 0.5\Over 0.5 Goals,Over 0.5 Goals,639088709229955694,BACK,Åí60.00,Åí0.00,3.05,SETTLED,Åí123.00,MV25.04 ?60 Back O0.5HT 3.00-3.20 ,Score at time of bet: 0 - 0,,2026-03-12 10:05:58,2026-03-12 10:05:58,2026-03-12 10:10:02,
09:31 Corinthians v Coritiba\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639088709229955695,LAY,Åí31.88,Åí0.00,4.8,SETTLED,Åí31.88,MV25.01 ?30 Back O1.5HT 1-3m HgP@g,Hedge - because score is: 0 - 1. Hedge - because score is: 0 - 1.  Score at time of bet: 0 - 1,,2026-03-12 10:09:10,2026-03-12 10:09:10,2026-03-12 10:22:39,
09:31 Corinthians v Coritiba\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639088709229955696,LAY,Åí46.58,Åí0.00,3.8,SETTLED,Åí46.58,MV25.02 ?30 Back O1.5HT 18-24m HgP@g,Hedge - because score is: 0 - 1. Hedge - because score is: 0 - 1.  Score at time of bet: 0 - 1,,2026-03-12 10:09:45,2026-03-12 10:09:45,2026-03-12 10:22:39,
09:30 Tolima v OHiggins\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639088709229955697,LAY,Åí38.00,Åí0.00,4.5,SETTLED,Åí38.00,MV25.02 ?30 Back O1.5HT 18-24m HgP@g,Hedge - because score is: 1 - 0. Hedge - because score is: 1 - 0.  Score at time of bet: 1 - 0,,2026-03-12 10:10:41,2026-03-12 10:10:41,2026-03-12 10:21:29,
10:00 Atletico San Luis (W) v Puebla FC (W)\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639088709229955698,LAY,Åí42.58,Åí0.00,1.55,SETTLED,-Åí23.42,MV25.01 ?30 Back O1.5HT 1-3m HgP@g,Hedge - because score is: 1 - 0. Hedge - because score is: 1 - 0.  Score at time of bet: 1 - 0,,2026-03-12 10:10:45,2026-03-12 10:10:45,2026-03-12 10:13:45,
09:32 Paysandu v Portuguesa RJ\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639088709229955699,LAY,Åí33.26,Åí0.00,4.6,SETTLED,Åí33.26,MV25.01 ?30 Back O1.5HT 1-3m HgP@g,Hedge - because score is: 1 - 0. Hedge - because score is: 1 - 0.  Score at time of bet: 1 - 0,,2026-03-12 10:12:19,2026-03-12 10:12:19,2026-03-12 10:23:05,
09:32 Paysandu v Portuguesa RJ\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639088709229955700,LAY,Åí46.67,Åí0.00,4.5,SETTLED,Åí46.67,MV25.02 ?30 Back O1.5HT 18-24m HgP@g,Hedge - because score is: 1 - 0. Hedge - because score is: 1 - 0.  Score at time of bet: 1 - 0,,2026-03-12 10:12:40,2026-03-12 10:12:40,2026-03-12 10:23:05,
